Date,Open,High,Low,Close,Volume
2022-01-01,99.66771914208915,100.95521694347651,99.72806085869186,100.49671415301123,2646
2022-01-02,99.79826881164308,101.80295498862618,98.99915528645391,100.35844985184005,1013
2022-01-03,101.753431995064,102.4462114630329,100.56963061421061,101.00613838994074,1503
2022-01-04,103.13953851178222,103.81146351211936,100.62924587844832,102.52916824634876,3278
2022-01-05,102.27411327766127,103.68291176055962,100.72232484279432,102.29501487162543,3008
2022-01-06,102.17820529798503,103.14632680137144,101.88205591005173,102.06087791467625,4155
2022-01-07,104.91775562597206,104.14368884799755,102.80492917861379,103.64009073018364,1129
2022-01-08,103.81595407050072,105.09891744634439,102.64928884421222,104.40752545933655,4814
2022-01-09,104.48514845457163,104.30124650700445,102.04858702881877,103.9380510734016,1837
2022-01-10,104.27841846455367,106.29751223965482,103.54580809448782,104.48061111698756,4216
2022-01-11,103.79951222094789,105.18397701370735,102.79037064575368,104.0171934241751,3938
2022-01-12,104.65024052259204,104.35316650413213,103.2173957784207,103.55146367060485,4928
2022-01-13,104.6188422911589,104.71743754945913,101.81108868989692,103.79342594217087,3040
2022-01-14,102.6936553335137,103.7747123767367,101.41680229474619,101.88014569751307,1027
2022-01-15,101.46070667215437,100.46193067123221,98.26976431672979,100.15522786500004,3113
2022-01-16,99.61394417739183,100.76539999979266,98.29364703777433,99.59294033575907,4234
2022-01-17,99.26206218671962,99.59188657319359,97.36463562566693,98.58010921542466,2252
2022-01-18,98.58408979142648,100.11726501888923,97.86897952598692,98.89435654801993,1260
2022-01-19,98.31049882498716,98.02255284014039,97.5249928490632,97.98633247249872,3046
2022-01-20,96.44388571679575,98.31827658905173,96.22097270715241,96.57402877116343,2472
2022-01-21,98.1366735050777,99.90391410505221,97.59870512194463,98.03967754008498,2447
2022-01-22,98.40905826503536,98.94416760677686,97.44102471530992,97.81390123959844,1459
2022-01-23,97.06320876105289,99.27473109204016,96.32226049715287,97.88142944428637,4747
2022-01-24,98.54906853375836,98.3016800204275,95.75643073973944,96.4566812580729,1300
2022-01-25,94.90628115204802,97.32677580217452,95.79661318042093,95.91229853354773,3966
2022-01-26,94.80903251046985,96.32829920908611,94.08501586297596,96.02322112325758,4374
2022-01-27,96.03033841933535,96.02480426616891,93.10465577590844,94.87222754583529,3334
2022-01-28,96.0395882581439,96.46135565694667,93.39242099779054,95.24792556418096,4466
2022-01-29,95.27140669131431,95.49554821686692,92.65747122896929,94.64728687426215,4081
2022-01-30,94.98393863373316,95.82848159571833,94.00780262602991,94.35559312446888,4778
2022-01-31,93.74163973939257,95.62262054177751,92.96140247443415,93.75388651223948,1629
2022-02-01,94.7089103252626,97.45730172256198,94.08968774534024,95.60616469674842,1269
2022-02-02,95.66847203020421,96.49434621481875,94.2006262359029,95.59266747201049,3639
2022-02-03,93.85779483154248,94.7614326347361,94.22716473037488,94.53495654305459,2993
2022-02-04,96.33262118857553,97.32718385308245,93.72583520517654,95.35750145515777,2628
2022-02-05,93.98960042368462,95.81445397807863,93.68777666151344,94.13665780518676,2801
2022-02-06,93.52002420339899,94.59484676259804,93.89788617054626,94.3455214001915,3891
2022-02-07,92.06446543465873,94.22753504154647,91.3119024305249,92.38585127631173,1861
